id,name,url,program,degree,country,state,online,oncampus,department,created_at,updated_at,university_count,program_size,courses,admit_reqs,year_founded,notes,cost,visualization,machine learning,business,databases,programminglanguages,capstone,mapreduce,part-time,ethics
87,Illinois Institue of Technology,http://www.iit.edu/csl/cs/programs/data_science.shtml,Data Science,Masters,US,IL,FALSE,TRUE,Computer Science,2015-01-10 04:13:15 UTC,2015-01-10 04:13:15 UTC,1,,,,,,,,,,,,,,,
88,University of Leicester,http://www2.le.ac.uk/study/postgrad/taught-campus/mathematics/analysis,Data Analysis for Business Intelligence,Masters,GB,,FALSE,TRUE,,2015-01-10 04:13:15 UTC,2015-01-10 04:13:15 UTC,1,,,,,,,,,,,,,,,
89,University of Warwick,http://www.wbs.ac.uk/courses/postgraduate/business-analytics-and-consulting/,Business Analytics & Consulting,Masters,GB,,FALSE,TRUE,,2015-01-10 04:13:15 UTC,2015-01-10 04:13:15 UTC,3,,,,,,,,,,,,,,,
90,"Brunel University, London",http://www.brunel.ac.uk/courses/postgraduate/N100PBUSINSM,Business Intelligence and Social Media,Masters,GB,,FALSE,TRUE,,2015-01-10 04:13:15 UTC,2015-01-10 04:13:15 UTC,1,,,,,,,,,,,,,,,
91,Sheffield Hallam University,http://www.shu.ac.uk/prospectus/course/1064/content/,Web and Cloud Computing,Masters,GB,,FALSE,TRUE,,2015-01-10 04:13:15 UTC,2015-01-10 04:13:15 UTC,2,,,,,,,,,,,,,,,
92,University of Surrey,http://www.surrey.ac.uk/postgraduate/courses/business/businessanalytics/,Business Analytics,Masters,GB,,FALSE,TRUE,Business,2015-01-10 04:13:15 UTC,2015-01-10 04:13:15 UTC,1,,,,,,,,,,,,,,,
93,Birmingham City University,http://www.bcu.ac.uk/courses/msc-business-intelligence,Business Intelligence,Masters,GB,,FALSE,TRUE,,2015-01-10 04:13:15 UTC,2015-01-10 04:13:15 UTC,1,,,,,,,,,,,,,,,
94,Pace University,http://www.pace.edu/lubin/ms-in-customer-intelligence-analytics,Customer Intelligence and Analytics,Masters,US,NY,FALSE,TRUE,Business,2015-01-10 04:13:15 UTC,2015-01-10 04:13:15 UTC,1,,,,,,,,,,,,,,,
95,University of Southern California,http://www.cs.usc.edu/academics/masters/msdata.htm,Data Science,Masters,US,CA,FALSE,TRUE,Computer Science,2015-01-10 04:13:15 UTC,2015-01-10 04:13:15 UTC,1,,,,,,,,,,,,,,,
96,Institute Of Technology Blanchardstown,http://www.itb.ie/StudyatITB/bn518BID.html,Business Intelligence & Data Mining,Masters,IE,,FALSE,TRUE,,2015-01-10 04:13:15 UTC,2015-01-10 04:13:15 UTC,1,,,,,,,,,,,,,,,
97,University of Kent,http://www.kent.ac.uk/kbs/pg-taught/programmes/msc-mgmntsci-analytics.html,Business Analytics,Masters,GB,,FALSE,TRUE,,2015-01-10 04:13:15 UTC,2015-01-10 04:13:15 UTC,1,,,,,,,,,,,,,,,
98,University of Southampton,http://www.southampton.ac.uk/postgraduate/pgstudy/programmes/management/msc_business_analytics_management_sciences.html,Business Analytics and Management Sciences,Masters,GB,,FALSE,TRUE,,2015-01-10 04:13:15 UTC,2015-01-10 04:13:15 UTC,1,,,,,,,,,,,,,,,
99,University Of Warwick,http://www2.warwick.ac.uk/fac/sci/dcs/admissions/taughtmsc/da-msc/,Data Analytics,Masters,GB,,FALSE,TRUE,,2015-01-10 04:13:15 UTC,2015-01-10 04:13:15 UTC,3,,,,,,,,,,,,,,,
100,Bournemouth University,http://courses.bournemouth.ac.uk/courses/postgraduate-degree/applied-data-analytics/msc/1975/course_content-course_content/,Applied Data Analytics,Masters,GB,,FALSE,TRUE,,2015-01-10 04:13:15 UTC,2015-01-10 04:13:15 UTC,1,,,,,,,,,,,,,,,
101,Chinese University of Hong Kong,http://www.sta.cuhk.edu.hk/mscdbs/DBSdefault.asp,Data Science and Business Statistics,Masters,HK,,FALSE,TRUE,,2015-01-10 04:13:15 UTC,2015-01-10 04:13:15 UTC,1,,,,,,,,,,,,,,,
